"","equity","mean_after","mean_before","after_minus_before"
"1","ASML.AS","0.000683371470210307","2.82946628362319e-05","0.000655076807374075"
"2","MC.PA","0.000698579952953981","-0.000102405977152704","0.000800985930106684"
"3","TTE.PA","0.00081841589989687","-0.000896145340409732","0.0017145612403066"
"4","SAP.DE","0.00130798831002612","-0.00107281440245682","0.00238080271248294"
"5","SIE.DE","0.00116701227734683","-0.000383811786022084","0.00155082406336891"
"6","OR.PA","0.000541460495850619","0.000431522581045342","0.000109937914805278"
"7","SU.PA","0.000562410845261349","-0.000306899534266688","0.000869310379528037"
"8","AI.PA","0.000935923002464977","-0.000786542950139649","0.00172246595260463"
"9","IBE.MC","0.000706119554047377","-0.000743696350722648","0.00144981590477002"
"10","AIR.PA","6.45671918899972e-06","-0.00190807113470604","0.00191452785389504"
"11","DTE.DE","0.000367093763470331","0.000802676027248936","-0.000435582263778605"
"12","BNP.PA","-0.000440679026264961","-0.000404077927365496","-3.66010988994643e-05"
"13","BAYN.DE","2.33731580643493e-05","0.000379097175886571","-0.000355724017822222"
"14","DG.PA","-9.85792209144156e-05","-5.13315841877625e-05","-4.72476367266531e-05"
"15","EL.PA","0.000974148640591427","0.000627114354054408","0.000347034286537019"
"16","CS.PA","-0.000165731299806896","0.000771358320431268","-0.000937089620238164"
"17","RMS.PA","0.00106738874587822","0.000510213186750017","0.000557175559128203"
"18","ABI.BR","-0.00015108005545632","-0.00119339511019004","0.00104231505473372"
"19","SAN.MC","-0.000365972559835961","-0.000504840360323672","0.000138867800487712"
"20","BAS.DE","-0.000289759564392568","-0.000741364201506698","0.00045160463711413"
"21","INGA.AS","0.000186578223072976","0.00103550636030817","-0.000848928137235192"
"22","KER.PA","0.000412785717022284","-1.89085049131904e-05","0.000431694221935474"
"23","MUV2.DE","0.0023080877388161","-0.00122335522025884","0.00353144295907494"
"24","ENEL.MI","0.000827890725488797","-0.00028062209210929","0.00110851281759809"
"25","IFX.DE","0.00103679344826922","-0.000498228429800508","0.00153502187806973"
"26","SAF.PA","-0.000248070478012451","0.000310982421766504","-0.000559052899778955"
"27","RI.PA","-4.94028263365279e-05","0.00124511080065677","-0.0012945136269933"
"28","DPW.DE","-0.000532228893824396","0.000231501546704071","-0.000763730440528466"
"29","ENI.MI","-0.000304578276284312","0.00084020002176992","-0.00114477829805423"
"30","ISP.MI","-1.73801305245842e-05","0.000263988380502024","-0.000281368511026608"
"31","BBVA.MC","-0.000408648816069936","0.00140498786433282","-0.00181363668040276"
"32","DB1.DE","0.000872846533560857","-0.000423566988847347","0.0012964135224082"
"33","STLAM.MI","0.000179675684681677","0.0003773912910195","-0.000197715606337823"
"34","BN.PA","-0.000470727309902344","-0.000179117543960357","-0.000291609765941987"
"35","ADYEN.AS","-0.00101473748163743","0.000515579757503228","-0.00153031723914066"
"36","AD.AS","6.22323204764999e-05","-0.000267590761976464","0.000329823082452964"
"37","CRG.IR","0.000232135570230365","-0.000528251141295552","0.000760386711525917"
"38","CAP.PA","-0.00088170385503004","0.000807512625709216","-0.00168921648073926"
"39","WKL.AS","0.000151906880445635","0.00065633496319767","-0.000504428082752035"
"40","RWE.DE","4.42765709675679e-05","0.00154488238054196","-0.00150060580957439"
"41","ENGI.PA","0.00268723970585795","0.000311009613241882","0.00237623009261607"
"42","VOW3.DE","-0.000462394957966069","0.000445214252695179","-0.000907609210661248"
"43","UCG.MI","0.00197619148415517","-0.000292602091397135","0.00226879357555231"
"44","DSY.PA","-0.000437937655253568","0.00123084360373741","-0.00166878125899098"
"45","FLTR.IR","0.00118841172359817","0.0027198508912","-0.00153143916760183"
"46","AMS.MC","-0.0012027300557748","-0.0011564879924835","-4.62420632913059e-05"
"47","HEIA.AS","-0.000479338200665347","-0.00033379708871382","-0.000145541111951527"
"48","MRK.DE","0.0014927949457301","0.000580679996596734","0.000912114949133365"
"49","SGO.PA","0.000532006811740142","0.00148786861978215","-0.000955861808042006"
"50","ARGX.BR","-0.000802080635434882","0.0030850505561141","-0.00388713119154899"
"51","DSM.AS","0.000855646652837994","-0.000274011214949306","0.0011296578677873"
"52","ADS.DE","-0.000754535136492016","-0.0011533883101095","0.00039885317361748"
"53","NESTE.HE","-0.000508644319840987","0.00097335269513129","-0.00148199701497228"
"54","DBK.DE","0.000289645578989598","9.11848836722935e-05","0.000198460695317305"
"55","LR.PA","-8.19339954838709e-05","0.000339205458319297","-0.000421139453803168"
"56","REP.MC","-0.000541382146029005","-0.000109565842264438","-0.000431816303764567"
"57","EOAN.DE","0.00127009649431245","-0.000101488966475607","0.00137158546078805"
"58","ORA.PA","0.00103298972694891","-0.00109188383505232","0.00212487356200123"
"59","TEF.MC","-0.00124728471926204","0.000274917339461611","-0.00152220205872365"
"60","UPM.HE","-0.00162590929589288","0.000651691169118488","-0.00227760046501137"
"61","ML.PA","0.000597773771644194","0.000499068952513276","9.87048191309181e-05"
"62","CLNX.MC","-0.000564907609255379","-0.000846724731473429","0.00028181712221805"
"63","VIE.PA","-0.0009421113742182","0.00150348171803097","-0.00244559309224917"
"64","KNEBV.HE","-0.000339025574968087","0.000699470333318732","-0.00103849590828682"
"65","KRZ.IR","-9.88218587035477e-05","-0.000681583673917273","0.000582761815213726"
"66","SHL.DE","5.17885266510329e-05","-0.000581183575507645","0.000632972102158678"
"67","PUB.PA","0.0011959207092527","0.00168234259600191","-0.000486421886749203"
"68","MT.AS","-0.000722810771752903","-0.000749565187510789","2.67544157578862e-05"
"69","KBC.BR","-0.000147541293236216","2.14231620850365e-07","-0.000147755524857066"
